(36, 2, 5, 18, 1000);ו;ה;ש;מ;ח;ת;ו;א;מ;ע;ב;ש;ח;ר;א;י;נ;ב;ם;י;(36, 2, 4, 24, 981)
(36, 2, 6, 15, 1020);י;י;נ;ב;ל;ב;א;ו;מ;ת;ח;פ;י;נ;ב;ם;י;ע;ב;ש;(36, 2, 5, 19, 1001)
(36, 2, 6, 35, 1040);ת;ו;א;מ;ה;נ;מ;ש;ם;י;פ;ל;א;ב;א;ו;י;ע;ו;ש;(36, 2, 6, 16, 1021)
(36, 2, 7, 12, 1060);א;מ;ף;ל;א;ם;ל;י;ע;י;נ;ב;ר;ש;ע;ם;י;נ;ש;ו;(36, 2, 6, 36, 1041)
(36, 2, 8, 6, 1080);ו;ת;ז;י;נ;ב;ה;ע;ב;ר;א;ו;ם;י;ש;מ;ח;ם;י;ת;(36, 2, 7, 13, 1061)
(36, 2, 8, 26, 1100);ה;ש;מ;ח;ו;ם;י;ע;ב;ר;א;ו;ת;ו;א;מ;ע;ש;ת;א;(36, 2, 8, 7, 1081)
(36, 2, 10, 2, 1120);נ;ב;ם;י;ש;ש;ו;ת;ו;א;מ;ע;ב;ש;י;כ;ז;י;נ;ב;(36, 2, 9, 1, 1101)
(36, 2, 10, 22, 1140);י;נ;ש;ו;ם;י;ע;ב;ר;א;ת;ו;א;מ;ש;ש;י;נ;ב;י;(36, 2, 10, 3, 1121)
(36, 2, 11, 19, 1160);ש;ו;ם;י;ר;ש;ע;ת;ו;א;מ;ש;ש;י;ב;ב;י;נ;ב;ם;(36, 2, 10, 23, 1141)
(36, 2, 12, 17, 1180);ש;ע;ם;י;ת;א;מ;ף;ל;א;ד;ג;ז;ע;י;נ;ב;ה;ש;ל;(36, 2, 11, 20, 1161)
(36, 2, 13, 12, 1200);מ;ש;ש;ם;ק;י;נ;ד;א;י;נ;ב;ם;י;נ;ש;ו;ם;י;ר;(36, 2, 12, 18, 1181)
(36, 2, 14, 9, 1220);ל;א;י;ו;ג;ב;י;נ;ב;ה;ש;ש;ו;ם;י;ש;ש;ת;ו;א;(36, 2, 13, 13, 1201)
(36, 2, 15, 8, 1240);א;ן;י;ד;ע;י;נ;ב;ה;ש;ש;ו;ם;י;ש;מ;ח;ם;י;פ;(36, 2, 14, 10, 1221)
(36, 2, 16, 2, 1260);נ;ב;ה;ע;ב;ר;א;ו;ם;י;ש;מ;ח;ת;ו;א;מ;ע;ב;ר;(36, 2, 15, 9, 1241)
(36, 2, 16, 22, 1280);נ;מ;ש;ו;ם;י;ע;ש;ת;ה;י;ק;ז;ח;י;ל;ר;ט;א;י;(36, 2, 16, 3, 1261)
(36, 2, 17, 19, 1300);ו;ם;י;ר;ש;ע;ת;ו;א;מ;ש;ל;ש;י;צ;ב;י;נ;ב;ה;(36, 2, 16, 23, 1281)
(36, 2, 18, 16, 1320);ע;ם;י;נ;ש;ו;ה;א;מ;ה;ר;ו;י;י;נ;ב;ה;ש;ל;ש;(36, 2, 17, 20, 1301)
(36, 2, 19, 18, 1340);ש;ו;ם;י;ר;ש;ע;ם;י;ת;א;מ;ם;ש;ח;י;נ;ב;ר;ש;(36, 2, 18, 17, 1321)
(36, 2, 21, 1, 1360);ב;ה;ש;מ;ח;ו;ם;י;ע;ש;ת;ר;ב;ג;י;נ;ב;ה;ש;ל;(36, 2, 19, 19, 1341)
(36, 2, 21, 21, 1380);ש;ל;ש;ו;ם;י;ר;ש;ע;ה;א;מ;ם;ח;ל;ת;י;ב;י;נ;(36, 2, 21, 2, 1361)
(36, 2, 23, 2, 1400);נ;א;ה;ש;ש;ו;ם;י;ש;מ;ח;ה;פ;ט;נ;י;ש;נ;א;ה;(36, 2, 21, 22, 1381)
(36, 2, 23, 22, 1420);ה;נ;מ;ש;ו;ם;י;ר;ש;ע;ה;א;מ;ת;ו;ת;נ;ע;י;ש;(36, 2, 23, 3, 1401)
(36, 2, 25, 1, 1440);ב;ם;י;נ;ש;ו;ם;י;ע;ב;ר;א;ת;ו;מ;ז;ע;י;נ;ב;(36, 2, 24, 1, 1421)
(36, 2, 25, 21, 1460);ו;ר;א;ב;ו;ה;ר;י;פ;כ;ם;י;ר;ע;ת;י;ר;ק;י;נ;(36, 2, 25, 2, 1441)
(36, 2, 25, 41, 1480);ה;ש;ל;ש;ו;ם;י;ע;ב;ר;א;ו;ת;ו;א;מ;ע;ב;ש;ת;(36, 2, 25, 22, 1461)
(36, 2, 26, 20, 1500);ר;ש;ע;ת;ו;א;מ;ש;ש;ע;ב;ג;ו;ה;מ;ר;ה;י;נ;ב;(36, 2, 26, 1, 1481)
